DirectorID,EXECID,execCIK
490226,45773,0001364007
103137,11077,0001185852
341942,44242,0001196316
103112,11075,0000942061
140762,02167,NA
140760,11710,0001223162
140747,21722,NA
36496,00042,0000918762
140761,26977,0001223163
32796,26440,0001236601
32656,01127,NA
32661,21257,0001236581
32666,10247,0001236614
32720,26441,0001236583
32664,02177,0001236585
557424,34840,0001417107
201089,18216,0001241651
183524,26581,0001021425
207407,26583,0001230453
346619,06454,0001267667
346140,14213,0001267778
337732,37723,0001210368
67592,03960,0000903065
67567,00048,0000903068
1811669,58517,0001789284
347363,36725,0001263158
327987,07273,0001184072
492226,17049,0001297166
337058,36036,0001198398
337261,36038,0001199721
334655,12905,0001199794
535729,48903,0001233549
327657,45206,0001182761
327662,45203,0001182764
550008,45207,0001378492
336924,57854,0001251152
441436,57858,0001346323
181000,15794,0001190759
181299,15796,0001115044
181305,15797,0001190752
181313,15795,NA
202700,26472,0001224875
205406,11242,0001024376
33676,20871,0001196484
335855,48428,0001318321
335545,48431,0001239878
482963,37867,0001341775
482988,37863,0001449515
54642,20355,0001191504
54702,20640,0001191508
181297,30594,0001069770
207453,30595,0001069771
205055,26399,0001262305
141773,04252,0001190203
201710,00054,NA
33409,00055,NA
33410,01542,0001185618
542900,59679,0001405591
270221,59664,0001236266
271644,30485,0001158600
271645,30486,0001158584
1406342,50059,0001611148
206737,34217,0001259707
496788,34218,0001276461
36047,14593,NA
67067,12580,0001185909
36048,03975,NA
36046,00060,NA
35431,03976,0001201481
35469,32412,0001201872
202603,15743,0001237302
536512,32327,0001400121
202604,15745,0001242164
203498,11135,0001243303
202608,15747,0001243301
202605,15746,NA
202645,20667,NA
606596,39820,0001436248
599232,41127,0001419731
544675,32759,0001417560
348003,28302,0001294213
347346,23804,0001225014
347351,20255,0001225027
347350,13902,NA
86132,33938,NA
201238,32760,0001201390
830430,48549,0001657533
140774,02253,0001189810
140773,20528,NA
335745,26910,0001055917
335426,03026,0001190579
349947,46671,0001235670
543903,50230,0001476700
442948,46668,0001258790
33829,12489,0001142403
34009,02257,0001179834
481899,47022,0000905479
201054,12173,0001217245
92227,00508,NA
27507,12175,NA
180948,19336,NA
206366,23988,NA
182682,02709,NA
982437,45152,0001545600
335536,32076,0000947868
271805,32077,0001000633
202425,26216,0001199440
182235,28567,0001168689
505247,57274,0001375364
181282,11042,0001234637
487366,32716,NA
341794,46075,0001179745
35837,23641,0001189793
350019,29734,0001322803
34492,12516,0001023265
36011,00063,0001145037
50441,03992,0001220124
180081,24517,0001229386
605782,43176,0001527351
202075,15413,0001096847
89337,08408,0001183723
61637,08406,NA
800649,51594,0001472545
347700,51597,0001128865
627835,34736,0001440390
533803,34738,0001396055
47661,16008,NA
46066,45266,0001213138
541748,31242,0001338665
1351946,57465,0001677134
508981,36076,0001382483
36540,14302,0001007844
55422,11717,0001214156
206450,26655,0001137523
91372,06485,NA
91152,08272,0001018549
206433,12936,0001018555
336468,18462,0001231606
51236,01555,0001171315
271312,17856,0001208344
880633,36830,0001431804
35169,03998,NA
32817,00066,0001198049
33211,25876,0001188935
140874,20536,0001184566
140901,05624,NA
331967,28513,NA
336366,34368,NA
790511,42083,0001417081
105457,11179,0001203977
105412,05007,NA
141672,11459,0001185736
141675,11460,0001185738
509967,54462,0001679516
141679,11461,0001181124
60031,19028,NA
85072,00994,0001135758
33127,23097,NA
59876,23098,NA
443851,40025,0001343513
207134,23738,0001242911
182234,02812,0001196539
207509,08381,NA
456167,30801,0001193004
57936,12606,0001157332
207746,22361,0001046080
510387,32777,0001382977
890753,41788,0001455792
36981,00067,NA
332588,35456,NA
141781,06218,NA
329504,21116,NA
181824,08164,0001171707
630032,36101,0001443825
335882,22408,NA
200545,25060,0001239605
332943,22051,0001216683
201904,18374,NA
765053,55474,0001605809
2083938,56158,0001654733
1312775,51643,0001575987
202953,21638,NA
202950,21637,0000935577
347685,51925,0001303087
1188458,51921,0001469064
270537,10733,0001215151
596244,36437,0001436861
622541,41373,0001424201
102797,13898,NA
205640,24903,0001186373
103027,04005,0001186372
102702,03986,NA
86647,00074,NA
483142,57219,0001063084
274251,17940,0001086524
274255,17944,NA
327931,20541,0001237933
